Samples (same as 2018 & 2019),%N,%C
C1 SearsPoint 0-10 cm 2016,0.15,1.84
C2 SearsPoint 0-10 cm 2016,0.25,2.87
C3 SearsPoint 0-10 cm 2016,0.17,2.00
C4 SearsPoint 0-10 cm 2016,0.22,2.63
C5 SearsPoint 0-10 cm 2016,0.18,2.09
T1 SearsPoint 0-10 cm 2016,0.28,3.24
T2 SearsPoint 0-10 cm 2016,0.20,2.25
T3 SearsPoint 0-10 cm 2016,0.23,2.66
T4 SearsPoint 0-10 cm 2016,0.20,2.34
T5 SearsPoint 0-10 cm 2016,0.21,2.60
C1 SearsPoint 0-10 cm 2017,0.14,1.59
C2 SearsPoint 0-10 cm 2017,0.14,1.70
C3 SearsPoint 0-10 cm 2017,0.18,2.01
C4 SearsPoint 0-10 cm 2017,0.14,1.76
C5 SearsPoint 0-10 cm 2017,0.18,2.05
T1 SearsPoint 0-10 cm 2017,0.18,2.27
T2 SearsPoint 0-10 cm 2017,0.19,2.27
T3 SearsPoint 0-10 cm 2017,0.18,2.12
T4 SearsPoint 0-10 cm 2017,0.14,1.60
T5 SearsPoint 0-10 cm 2017,0.22,2.62
C1 SearsPoint 0-10 cm 2018,0.14,1.74
C2 SearsPoint 0-10 cm 2018,0.23,2.88
C3 SearsPoint 0-10 cm 2018,0.19,2.35
C4 SearsPoint 0-10 cm 2018,0.15,1.89
C5 SearsPoint 0-10 cm 2018,0.16,1.93
T1 SearsPoint 0-10 cm 2018,0.13,1.55
T2 SearsPoint 0-10 cm 2018,0.19,2.13
T3 SearsPoint 0-10 cm 2018,0.20,2.55
T4 SearsPoint 0-10 cm 2018,0.16,1.76
T5 SearsPoint 0-10 cm 2018,0.30,3.47
C1 SearsPoint 0-10 cm 2019,0.15,1.79
C1 SearsPoint 10-30 cm 2019,0.07,0.81
C2 SearsPoint 0-10 cm 2019,0.18,2.30
C2 SearsPoint 10-30 cm 2019,0.08,0.95
C3 SearsPoint 0-10 cm 2019,0.14,1.60
C3 SearsPoint 10-30 cm 2019,0.07,0.73
C4 SearsPoint 0-10 cm 2019,0.15,1.74
C4 SearsPoint 10-30 cm 2019,0.08,0.83
C5 SearsPoint 0-10 cm 2019,0.21,2.43
C5 SearsPoint 10-30 cm 2019,0.09,1.12
T1 SearsPoint 0-10 cm 2019,0.17,2.01
T1 SearsPoint 10-30 cm 2019,0.10,1.18
T2 SearsPoint 0-10 cm 2019,0.19,2.35
T2 SearsPoint 10-30 cm 2019,0.10,1.09
T3 SearsPoint 0-10 cm 2019,0.18,2.16
T3 SearsPoint 10-30 cm 2019,0.08,0.84
T4 SearsPoint 0-10 cm 2019,0.18,2.25
T4 SearsPoint 10-30 cm 2019,0.08,0.93
T5 SearsPoint 0-10 cm 2019,0.16,1.96
T5 SearsPoint 10-30 cm 2019,0.09,1.00
C1 Yolo2 0-10 cm 2016,0.14,1.41
C2 Yolo2 0-10 cm 2016,0.12,1.11
C3 Yolo2 0-10 cm 2016,0.20,2.20
C4 Yolo2 0-10 cm 2016,0.19,2.01
C5 Yolo2 0-10 cm 2016,0.22,2.29
T1 Yolo2 0-10 cm 2016,0.20,2.14
T2 Yolo2 0-10 cm 2016,0.17,1.74
T3 Yolo2 0-10 cm 2016,0.20,2.11
T4 Yolo2 0-10 cm 2016,0.13,1.48
T5 Yolo2 0-10 cm 2016,0.20,2.03
C1 Yolo2 0-10 cm 2017,0.18,1.86
C2 Yolo2 0-10 cm 2017,0.17,1.78
C3 Yolo2 0-10 cm 2017,0.19,2.00
C4 Yolo2 0-10 cm 2017,0.15,1.53
C5 Yolo2 0-10 cm 2017,0.18,1.88
T1 Yolo2 0-10 cm 2017,0.18,1.87
T2 Yolo2 0-10 cm 2017,0.18,1.89
T3 Yolo2 0-10 cm 2017,0.16,1.59
T4 Yolo2 0-10 cm 2017,0.18,1.84
T5 Yolo2 0-10 cm 2017,0.19,1.91
C1 Yolo2 0-10 cm 2018,0.18,1.95
C2 Yolo2 0-10 cm 2018,0.14,1.39
C3 Yolo2 0-10 cm 2018,0.16,1.49
C4 Yolo2 0-10 cm 2018,0.15,1.62
C5 Yolo2 0-10 cm 2018,0.15,1.49
T1 Yolo2 0-10 cm 2018,0.18,1.86
T2 Yolo2 0-10 cm 2018,0.19,2.06
T3 Yolo2 0-10 cm 2018,0.19,1.95
T4 Yolo2 0-10 cm 2018,0.19,2.09
T5 Yolo2 0-10 cm 2018,0.14,1.48
C1 Yolo2 0-10 cm 2019,0.21,2.06
C1 Yolo2 10-30 cm 2019,0.11,1.01
C2 Yolo2 0-10 cm 2019,0.16,1.79
C2 Yolo2 10-30 cm 2019,0.09,0.87
C3 Yolo2 0-10 cm 2019,0.17,1.68
C3 Yolo2 10-30 cm 2019,0.09,0.89
C4 Yolo2 0-10 cm 2019,0.18,1.89
C4 Yolo2 10-30 cm 2019,0.10,0.88
C5 Yolo2 0-10 cm 2019,0.18,1.93
C5 Yolo2 10-30 cm 2019,0.09,0.83
T1 Yolo2 0-10 cm 2019,0.21,2.40
T1 Yolo2 10-30 cm 2019,0.10,0.93
T2 Yolo2 0-10 cm 2019,0.18,2.01
T2 Yolo2 10-30 cm 2019,0.09,0.83
T3 Yolo2 0-10 cm 2019,0.15,1.55
T3 Yolo2 10-30 cm 2019,0.09,0.85
T4 Yolo2 0-10 cm 2019,0.24,2.81
T4 Yolo2 10-30 cm 2019,0.09,0.91
T5 Yolo2 0-10 cm 2019,0.19,2.12
T5 Yolo2 10-30 cm 2019,0.10,0.91
C1 BethelIsland 0-10 cm 2016,1.07,12.93
C2 BethelIsland 0-10 cm 2016,0.96,11.51
C3 BethelIsland 0-10 cm 2016,1.15,14.72
C4 BethelIsland 0-10 cm 2016,1.25,16.55
C5 BethelIsland 0-10 cm 2016,1.00,13.26
T1 BethelIsland 0-10 cm 2016,0.51,6.32
T2 BethelIsland 0-10 cm 2016,0.50,6.06
T3 BethelIsland 0-10 cm 2016,0.36,4.33
T4 BethelIsland 0-10 cm 2016,0.38,4.66
T5 BethelIsland 0-10 cm 2016,0.44,5.51
C1 BethelIsland 0-10 cm 2017,0.77,9.42
C2 BethelIsland 0-10 cm 2017,0.82,9.75
C3 BethelIsland 0-10 cm 2017,0.69,8.93
C4 BethelIsland 0-10 cm 2017,0.93,12.13
C5 BethelIsland 0-10 cm 2017,0.70,8.63
T1 BethelIsland 0-10 cm 2017,0.59,7.14
T2 BethelIsland 0-10 cm 2017,0.46,5.54
T3 BethelIsland 0-10 cm 2017,0.71,8.06
T4 BethelIsland 0-10 cm 2017,0.75,9.02
T5 BethelIsland 0-10 cm 2017,0.67,8.41
C1 BethelIsland 0-10 cm 2018,1.31,15.67
C2 BethelIsland 0-10 cm 2018,1.12,14.29
C3 BethelIsland 0-10 cm 2018,0.91,11.61
C4 BethelIsland 0-10 cm 2018,0.67,8.38
C5 BethelIsland 0-10 cm 2018,0.58,7.64
T1 BethelIsland 0-10 cm 2018,0.73,9.36
T2 BethelIsland 0-10 cm 2018,0.61,7.89
T3 BethelIsland 0-10 cm 2018,0.74,9.50
T4 BethelIsland 0-10 cm 2018,0.97,11.41
T5 BethelIsland 0-10 cm 2018,0.95,11.55
C1 BethelIsland 0-10 cm 2019,1.43,16.89
C1 BethelIsland 10-30 cm 2019,1.32,17.69
C2 BethelIsland 0-10 cm 2019,1.33,15.74
C2 BethelIsland 10-30 cm 2019,1.16,15.80
C3 BethelIsland 0-10 cm 2019,0.90,10.62
C3 BethelIsland 10-30 cm 2019,0.94,11.22
C4 BethelIsland 0-10 cm 2019,1.06,12.52
C4 BethelIsland 10-30 cm 2019,1.05,14.16
C5 BethelIsland 0-10 cm 2019,1.04,14.21
C5 BethelIsland 10-30 cm 2019,1.25,15.47
T1 BethelIsland 0-10 cm 2019,0.71,9.03
T1 BethelIsland 10-30 cm 2019,0.67,9.56
T2 BethelIsland 0-10 cm 2019,0.66,8.30
T2 BethelIsland 10-30 cm 2019,0.66,8.88
T3 BethelIsand 0-30 cm 2019,0.68,8.48
T3 BethelIsland 0-10 cm 2019,0.74,9.05
T4 BethelIsland 0-10 cm 2019,0.93,10.43
T4 BethelIsland 10-30 cm 2019,0.43,6.04
T5 BethelIsland 0-10 cm 2019,0.58,7.16
T5 BethelIsland 10-30 cm 2019,0.47,5.99
C1 RushRanch 0-10 cm 2016,0.10,1.24
C2 RushRanch 0-10 cm 2016,0.16,1.86
C3 RushRanch 0-10 cm 2016,0.13,1.61
C4 RushRanch 0-10 cm 2016,0.14,1.32
C5 RushRanch 0-10 cm 2016,0.14,1.60
T1 RushRanch 0-10 cm 2016,0.18,1.96
T2 RushRanch 0-10 cm 2016,0.18,2.05
T3 RushRanch 0-10 cm 2016,0.16,1.67
T4 RushRanch 0-10 cm 2016,0.11,1.32
T5 RushRanch 0-10 cm 2016,0.20,2.29
C1 RushRanch 0-10 cm 2017,0.15,1.62
C2 RushRanch 0-10 cm 2017,0.14,1.60
C3 RushRanch 0-10 cm 2017,0.22,2.45
C4 RushRanch 0-10 cm 2017,0.16,1.84
C5 RushRanch 0-10 cm 2017,0.12,1.36
T1 RushRanch 0-10 cm 2017,0.18,2.15
T2 RushRanch 0-10 cm 2017,0.13,1.55
T3 RushRanch 0-10 cm 2017,0.14,1.55
T4 RushRanch 0-10 cm 2017,0.20,2.30
T5 RushRanch 0-10 cm 2017,0.21,2.45
C1 RushRanch 0-10 cm 2018,0.20,2.26
C4 RushRanch 0-10 cm 2018,0.16,1.61
C6 RushRanch 0-10 cm 2018,0.20,2.29
C8 RushRanch 0-10 cm 2018,0.14,1.65
T1 RushRanch 0-10 cm 2018,0.16,1.92
T2 RushRanch 0-10 cm 2018,0.24,2.72
T3 RushRanch 0-10 cm 2018,0.16,1.88
T4 RushRanch 0-10 cm 2018,0.18,2.18
T5 RushRanch 0-10 cm 2018,0.16,1.91
T6 RushRanch 0-10 cm 2018,0.16,1.89
T7 RushRanch 0-10 cm 2018,0.17,2.07
T8 RushRanch 0-10 cm 2018,0.20,2.57
C1 RushRanch 0-10 cm 2019,0.14,1.51
C1 RushRanch 10-30 cm 2019,0.06,0.81
C2 RushRanch 0-10 cm 2019,0.17,2.00
C2 RushRanch 10-30 cm 2019,0.06,0.81
C3 RushRanch 0-10 cm 2019,0.22,2.34
C3 RushRanch 10-30 cm 2019,0.07,0.84
C4 RushRanch 0-10 cm 2019,0.14,1.58
C4 RushRanch 10-30 cm 2019,0.07,0.86
C5 RushRanch 0-10 cm 2019,0.15,1.70
C5 RushRanch 10-30 cm 2019,0.07,0.86
T1 RushRanch 0-10 cm 2019,0.09,1.12
T1 RushRanch 10-30 cm 2019,0.08,1.00
T2 RushRanch 0-10 cm 2019,0.22,2.51
T2 RushRanch 10-30 cm 2019,0.11,0.90
T3 RushRanch 0-10 cm 2019,0.17,2.04
T3 RushRanch 10-30 cm 2019,0.07,0.81
T4 RushRanch 0-10 cm 2019,0.16,1.88
T4 RushRanch 10-30 cm 2019,0.11,1.19
T5 RushRanch 0-10 cm 2019,0.16,1.78
T5 RushRanch 10-30 cm 2019,0.06,0.72
C1 TomKat 0-10 cm 2016,0.26,3.04
C2 TomKat 0-10 cm 2016,0.32,3.67
C3 TomKat 0-10 cm 2016,0.26,2.89
C4 TomKat 0-10 cm 2016,0.27,2.99
C5 TomKat 0-10 cm 2016,0.26,3.04
T1 TomKat 0-10 cm 2016,0.27,3.04
T2 TomKat 0-10 cm 2016,0.27,2.96
T3 TomKat 0-10 cm 2016,0.26,2.80
T4 TomKat 0-10 cm 2016,0.26,2.78
T5 TomKat 0-10 cm 2016,0.22,2.12
C1 TomKat 0-10 cm 2017,0.25,2.83
C2 TomKat 0-10 cm 2017,0.26,2.97
C3 TomKat 0-10 cm 2017,0.27,3.06
C4 TomKat 0-10 cm 2017,0.26,2.89
C5 TomKat 0-10 cm 2017,0.15,1.45
T1 TomKat 0-10 cm 2017,0.28,3.06
T2 TomKat 0-10 cm 2017,0.26,2.75
T3 TomKat 0-10 cm 2017,0.24,2.59
T4 TomKat 0-10 cm 2017,0.25,2.66
T5 TomKat 0-10 cm 2017,0.21,2.31
C1 TomKat 0-10 cm 2018,0.28,3.16
C2 TomKat 0-10 cm 2018,0.17,1.61
C3 TomKat 0-10 cm 2018,0.24,2.56
C4 TomKat 0-10 cm 2018,0.22,2.31
C5 TomKat 0-10 cm 2018,0.26,2.92
T1 TomKat 0-10 cm 2018,0.28,3.12
T2 TomKat 0-10 cm 2018,0.25,2.69
T3 TomKat 0-10 cm 2018,0.28,3.11
T4 TomKat 0-10 cm 2018,0.24,2.76
T5 TomKat 0-10 cm 2018,0.28,3.08
C1 TomKat 0-10 cm 2019,0.27,2.89
C1 TomKat 10-30 cm 2019,0.22,2.26
C2 TomKat 0-10 cm 2019,0.29,3.02
C2 TomKat 10-30 cm 2019,0.20,1.96
C3 TomKat 0-10 cm 2019,0.30,3.24
C3 TomKat 10-30 cm 2019,0.23,2.37
C4 TomKat 0-10 cm 2019,0.29,3.02
C4 TomKat 10-30 cm 2019,0.21,2.04
C5 TomKat 0-10 cm 2019,0.28,2.89
C5 TomKat 10-30 cm 2019,0.23,2.42
T1 TomKat 0-10 cm 2019,0.27,2.96
T1 TomKat 10-30 cm 2019,0.27,2.22
T2 TomKat 0-10 cm 2019,0.27,2.95
T2 TomKat 10-30 cm 2019,0.13,1.05
T3 TomKat 0-10 cm 2019,0.27,2.87
T3 TomKat 10-30 cm 2019,0.22,2.21
T4 TomKat 0-10 cm 2019,0.26,2.82
T4 TomKat 10-30 cm 2019,0.20,1.75
T5 TomKat 0-10 cm 2019,0.29,2.97
T5 TomKat 10-30 cm 2019,0.20,1.91
C1 RommRanch 0-10 cm 2016,0.31,3.31
C2 RommRanch 0-10 cm 2016,0.24,2.62
C3 RommRanch 0-10 cm 2016,0.29,3.09
C4 RommRanch 0-10 cm 2016,0.18,1.99
C5 RommRanch 0-10 cm 2016,0.21,2.31
T1 RommRanch 0-10 cm 2016,0.20,2.21
T2 RommRanch 0-10 cm 2016,0.24,2.62
T3 RommRanch 0-10 cm 2016,0.26,2.99
T4 RommRanch 0-10 cm 2016,0.28,3.09
T5 RommRanch 0-10 cm 2016,0.18,1.86
C1 RommRanch 0-10 cm 2017,0.22,2.52
C2 RommRanch 0-10 cm 2017,0.23,2.53
C3 RommRanch 0-10 cm 2017,0.29,3.09
C4 RommRanch 0-10 cm 2017,0.29,3.21
C5 RommRanch 0-10 cm 2017,0.17,1.91
T1 RommRanch 0-10 cm 2017,0.28,3.16
T2 RommRanch 0-10 cm 2017,0.26,2.88
T3 RommRanch 0-10 cm 2017,0.29,3.30
T4 RommRanch 0-10 cm 2017,0.32,3.54
T5 RommRanch 0-10 cm 2017,0.20,2.29
T1 RommRanch 0-10 cm 2018,0.20,2.12
T2 RommRanch 0-10 cm 2018,0.20,2.30
T3 RommRanch 0-10 cm 2018,0.20,2.35
T4 RommRanch 0-10 cm 2018,0.26,2.96
T5 RommRanch 0-10 cm 2018,0.31,3.51
C1 RommRanch 0-10 cm 2018,0.19,2.19
C2 RommRanch 0-10 cm 2018,0.21,2.30
C3 RommRanch 0-10 cm 2018,0.30,3.36
C4 RommRanch 0-10 cm 2018,0.30,3.19
C5 RommRanch 0-10 cm 2018,0.34,3.77
C1 RommRanch 0-10 cm 2019,0.22,2.54
C1 RommRanch 10-30 cm 2019,0.15,1.56
C2 RommRanch 0-10 cm 2019,0.26,3.03
C2 RommRanch 10-30 cm 2019,0.13,1.49
C3 RommRanch 0-10 cm 2019,0.25,2.93
C3 RommRanch 10-30 cm 2019,0.14,1.63
C4 RommRanch 0-10 cm 2019,0.29,3.45
C4 RommRanch 10-30 cm 2019,0.15,1.73
C5 RommRanch 0-10 cm 2019,0.22,2.65
C5 RommRanch 10-30 cm 2019,0.15,1.72
T1 RommRanch 0-10 cm 2019,0.25,2.97
T1 RommRanch 10-30 cm 2019,0.16,1.75
T2 RommRanch 0-10 cm 2019,0.19,2.21
T2 RommRanch 10-30 cm 2019,0.13,1.42
T3 RommRanch 0-10 cm 2019,0.23,2.67
T3 RommRanch 10-30 cm 2019,0.11,1.28
T4 RommRanch 0-10 cm 2019,0.20,2.21
T4 RommRanch 10-30 cm 2019,0.15,1.64
T5 RommRanch 0-10 cm 2019,0.23,2.64
T5 RommRanch 10-30 cm 2019,0.14,1.62
C1 Koopman 0-10 cm 2016,3.51,0.20
C2 Koopman 0-10 cm 2016,0.47,1.45
C3 Koopman 0-10 cm 2016,2.07,0.50
C4 Koopman 0-10 cm 2016,2.98,0.97
C5 Koopman 0-10 cm 2016,7.25,4.20
T1 Koopman 0-10 cm 2016,0.00,2.71
T2 Koopman 0-10 cm 2016,6.10,8.26
T3 Koopman 0-10 cm 2016,0.22,2.42
T4 Koopman 0-10 cm 2016,0.23,2.57
T5 Koopman 0-10 cm 2016,0.17,1.81
C1 Koopman 0-10 cm 2017,0.16,1.70
C2 Koopman 0-10 cm 2017,0.20,2.26
C3 Koopman 0-10 cm 2017,0.14,1.66
C4 Koopman 0-10 cm 2017,0.20,2.23
C5 Koopman 0-10 cm 2017,0.19,1.96
T1 Koopman 0-10 cm 2017,0.19,2.15
T2 Koopman 0-10 cm 2017,0.24,2.63
T3 Koopman 0-10 cm 2017,0.19,2.05
T4 Koopman 0-10 cm 2017,0.26,2.71
T5 Koopman 0-10 cm 2017,0.18,1.93
C1 Koopman 0-10 cm 2018,0.19,2.26
C2 Koopman 0-10 cm 2018,0.22,2.63
C3 Koopman 0-10 cm 2018,0.21,2.43
C4 Koopman 0-10 cm 2018,0.21,2.32
C5 Koopman 0-10 cm 2018,0.21,2.38
C6 Koopman 0-10 cm 2018,0.20,2.30
C7 Koopman 0-10 cm 2018,0.20,2.24
C8 Koopman 0-10 cm 2018,0.23,2.59
T1 Koopman 0-10 cm 2018,0.30,3.33
T2 Koopman 0-10 cm 2018,0.20,2.25
T3 Koopman 0-10 cm 2018,0.24,2.87
T4 Koopman 0-10 cm 2018,0.20,2.29
T5 Koopman 0-10 cm 2018,0.24,2.94
T6 Koopman 0-10 cm 2018,0.26,3.08
T7 Koopman 0-10 cm 2018,0.29,3.48
T8 Koopman 0-10 cm 2018,0.27,3.15
C1 Koopman 0-10 cm 2019,0.20,2.41
C2 Koopman 0-10 cm 2019,0.17,1.87
C2 Koopman 10-30 cm 2019,0.10,0.99
C3 Koopman 0-10 cm 2019,0.20,2.26
C3 Koopman 10-30 cm 2019,0.11,1.13
C4 Koopman 0-10 cm 2019,0.18,1.98
C4 Koopman 10-30 cm 2019,0.12,1.23
C5 Koopman 0-10 cm 2019,0.23,2.54
C5 Koopman 10-30 cm 2019,0.11,1.02
T1 Koopman 0-10 cm 2019,0.18,2.01
T1 Koopman 10-30 cm 2019,0.11,1.16
T2 Koopman 0-10 cm 2019,0.20,2.30
T2 Koopman 10-30 cm 2019,0.13,1.39
T3 Koopman 0-10 cm 2019,0.24,2.73
T3 Koopman 10-30 cm 2019,0.12,1.20
T4 Koopman 0-10 cm 2019,0.25,2.70
T4 Koopman 10-30 cm 2019,0.13,1.28
T5 Koopman 0-10 cm 2019,0.14,1.49
T5 Koopman 10-30 cm 2019,0.10,1.02